"anio","carrera","carrera_siglas","tipo","cohorte","cohorte_anio","linea_formativa","propuesta","ifda_sigla","ifda","prematriculados","inician_curso","aprueban_MI","cursantes_T3"
NULL,"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","1","0","0","0"
NULL,"Seminario de Lectura: Ante la escuela. Tres lecturas intempestivas","SEMINARIOLECTURA","Seminario","Abril 2017","2017","Formación para docentes de todos los niveles del sistema educativo","Seminario de Lectura: Ante la escuela. Tres lecturas intempestivas","ISEP","Instituto Superior de Estudios Pedagógicos","140","0","0","0"
NULL,"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","GESTIONINI_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","CARENA","Instituto Superior Dr. Carlos María Carena","1","0","0","0"
NULL,"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","1","0","0","0"
NULL,"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","CARENA","Instituto Superior Dr. Carlos María Carena","1","0","0","0"
NULL,"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Abril 2018","2018","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","CARENA","Instituto Superior Dr. Carlos María Carena","2","0","0","0"
NULL,"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Abril 2018","2018","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","IESSB","Instituto de Enseñanza Superior Simón Bolívar","15","0","0","0"
NULL,"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","URQUIZA","Escuela Normal Superior Justo José de Urquiza","3","0","0","0"
NULL,"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","CARENA","Instituto Superior Dr. Carlos María Carena","1","0","0","0"
NULL,"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","IESSB","Instituto de Enseñanza Superior Simón Bolívar","23","0","0","0"
NULL,"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","SANMARTIN","Colegio Superior San Martín","1","0","0","0"
NULL,"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","6","0","0","0"
NULL,"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","4","0","0","0"
NULL,"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","2","0","0","0"
NULL,"Seminario ""La Exploración del Espacio y la Estatura del Hombre""","SEMINARIOESPACIO","Seminario","Abril 2018","2018","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""La Exploración del Espacio y la Estatura del Hombre""","IESSB","Instituto de Enseñanza Superior Simón Bolívar","7","0","0","0"
