"linea_formativa","propuesta","carrera_siglas","tipo","egresados","anio"
"Formación de directores y supervisores",NULL,"DIRESPECIALES","Trayecto","155","2016"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"ENTRECOLEGAS20161","Seminario","82","2016"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"ENTRECOLEGAS20162","Seminario","77","2016"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONINI","Trayecto","61","2017"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI","Trayecto","374","2017"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC","Trayecto","134","2017"
"Formación de profesores virtuales para propuestas del ISEP",NULL,"TUTORES","Seminario","978","2017"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"SEMINARIOLECTURA","Seminario","87","2017"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"SEMINARIOVJ","Seminario","58","2017"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOSARMIENTO","Seminario","50","2017"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOESPACIO","Seminario","17","2017"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"SEMINARIOMEMORIA","Seminario","14","2017"
"Formación de directores y supervisores",NULL,"SUPERVISORES","Seminario","135","2017"
"Formación de profesores virtuales para propuestas del ISEP",NULL,"SEMINARIOPYC","Seminario","93","2017"
"Formación de profesores virtuales para propuestas del ISEP",NULL,"SEMINARIOEYT","Seminario","109","2017"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONINI","Trayecto","20","2018"
"Formación de docentes en el área de medios y tecnologías",NULL,"PROGRAMACION","Trayecto","47","2018"
"Formación de directores y supervisores",NULL,"DIRESPECIALES","Trayecto","34","2018"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI","Trayecto","77","2018"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC","Trayecto","43","2018"
"Formación de profesores virtuales para propuestas del ISEP",NULL,"TUTORES","Seminario","425","2018"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONINI_ESP","Trayecto","122","2018"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI_ESP","Trayecto","337","2018"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC_ESP","Trayecto","109","2018"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","INGLES_TESP","Trayecto","5","2018"
"Formación de docentes de las modalidades del sistema educativo",NULL,"DOMI_ACT","Trayecto","64","2018"
"Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","113","2018"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSUP_ESP","Trayecto","24","2018"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOSARMIENTO","Seminario","77","2018"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOESPACIO","Seminario","51","2018"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOBORGES","Seminario","128","2018"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIORANCIERE","Seminario","163","2018"
"Nuevos lugares docentes: desafíos para acompañar la enseñanza",NULL,"SEMINARIOPRIMERAINFANCIA","Seminario","26","2018"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOMUSICAS","Seminario","44","2018"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"SEMINARIOEABP","Seminario","24","2018"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"SEMINARIOVJSC","Seminario","21","2018"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"SEMINARIOPCT","Seminario","16","2018"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"ENTRECOLEGAS2018","Seminario","91","2018"
"Nuevos lugares docentes: desafíos para acompañar la enseñanza",NULL,"SEMINARIOMENTORES","Seminario","13","2018"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"TALLERCINEINGLES","Seminario","31","2018"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"SEMINARIOCOORDINADORESPROA","Seminario","110","2018"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"SEMINARIODOCENTESPROA","Seminario","174","2018"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"SEMINARIOSECRETARIOSPROA","Seminario","163","2018"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"SEMINARIOPRECEPTORESPROA","Seminario","127","2018"
"Formación de docentes del nivel de educación inicial y primario",NULL,"SEMINARIOENSEMATE","Seminario","10","2018"
"Formación de docentes del nivel de educación inicial y primario",NULL,"SEMINARIOENSELENGUA","Seminario","7","2018"
"Formación de docentes del nivel de educación inicial y primario",NULL,"SEMINARIOENSESOC","Seminario","8","2018"
"Formación de docentes del nivel de educación inicial y primario",NULL,"SEMINARIOENSENATU","Seminario","9","2018"
"Formación de docentes del nivel de educación inicial y primario",NULL,"SEMINARIOGEOMETRIA","Seminario","9","2018"
"Formación de docentes del nivel de educación inicial y primario",NULL,"SEMINARIOTEXTOS","Seminario","7","2018"
"Formación de docentes del nivel de educación inicial y primario",NULL,"SEMINARIOTIEMPO","Seminario","8","2018"
"Formación de docentes del nivel de educación inicial y primario",NULL,"SEMINARIONATURALES2","Seminario","7","2018"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONINI","Trayecto","3","2019"
"Formación de docentes en el área de medios y tecnologías",NULL,"PROGRAMACION","Trayecto","7","2019"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI","Trayecto","16","2019"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC","Trayecto","10","2019"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONINI_ESP","Trayecto","130","2019"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI_ESP","Trayecto","363","2019"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC_ESP","Trayecto","178","2019"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","SOCIALES_ESP","Trayecto","8","2019"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","NATURALES_ESP","Trayecto","10","2019"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","MATEMATICA_ESP","Trayecto","28","2019"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","LENGUA_ESP","Trayecto","36","2019"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","INGLES_TESP","Trayecto","8","2019"
"Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","7","2019"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSUP_ESP","Trayecto","25","2019"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOSARMIENTO","Seminario","54","2019"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOESPACIO","Seminario","90","2019"
"Formación de docentes en el área de medios y tecnologías","Educación y Medios Digitales","EDUYMEDIOS","Trayecto","90","2019"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOBORGES","Seminario","63","2019"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIORANCIERE","Seminario","77","2019"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOMUSICAS","Seminario","65","2019"
"Formación docente complementaria",NULL,"FORM_PRIM","Formación pedagógica (profesorado)","12","2019"
"Formación docente complementaria",NULL,"FORM_SEC","Formación pedagógica (profesorado)","265","2019"
"Formación docente complementaria",NULL,"FORM_SUPTEC","Formación pedagógica (profesorado)","57","2019"
"Formación docente complementaria",NULL,"FORM_SUPFD_INIPRI","Formación pedagógica (profesorado)","13","2019"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"TALLERCINEINGLES","Seminario","87","2019"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIODARWIN","Seminario","118","2019"
"Formación de profesores virtuales para propuestas del ISEP",NULL,"SEMINARIOLECTURAPYC","Seminario","17","2019"
"Formación para docentes de todos los niveles del sistema educativo",NULL,"ENTRECOLEGAS2019","Seminario","22","2019"
"Nuevos lugares docentes: desafíos para acompañar la enseñanza",NULL,"SEMINARIOMAESTROS","Seminario","28","2019"
"Nuevos lugares docentes: desafíos para acompañar la enseñanza",NULL,"SEMINARIOMENTORES2","Seminario","9","2019"
"Nuevos lugares docentes: desafíos para acompañar la enseñanza",NULL,"SEMINARIOPRIMERAINFANCIA2","Seminario","23","2019"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOCORDOBAZO","Seminario","48","2019"
"Formación de directores y supervisores",NULL,"SEMINARIOGESTION","Seminario","749","2019"
"Formación de directores y supervisores",NULL,"TRABAJOSUPERVISOR","Seminario","75","2019"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"PYC_ACT","Trayecto","11","2019"
"Formación de profesores virtuales para propuestas del ISEP",NULL,"SEMINARIODEFENSA","Seminario","17","2019"
"Formación docente complementaria",NULL,"FORM_SUPFD_SEC","Formación pedagógica (profesorado)","29","2019"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONINI","Trayecto","5","2020"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI","Trayecto","16","2020"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC","Trayecto","6","2020"
"Formación de profesores virtuales para propuestas del ISEP",NULL,"TUTORES","Seminario","170","2020"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONINI_ESP","Trayecto","127","2020"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI_ESP","Trayecto","333","2020"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC_ESP","Trayecto","139","2020"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","SOCIALES_ESP","Trayecto","26","2020"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","NATURALES_ESP","Trayecto","19","2020"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","MATEMATICA_ESP","Trayecto","38","2020"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","LENGUA_ESP","Trayecto","73","2020"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","INGLES_TESP","Trayecto","4","2020"
"Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","67","2020"
