"carrera","carrera_siglas","tipo","cohorte","cohorte_anio","linea_formativa","propuesta","ifda_sigla","ifda","prematriculados","inician_curso","aprueban_MI","cursantes_T3"
"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","GESTIONINI","Trayecto","Septiembre 2016","2016","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","URQUIZA","Escuela Normal Superior Justo José de Urquiza","1","0","1","0"
"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","GESTIONINI","Trayecto","Septiembre 2016","2016","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","2","0","2","0"
"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","GESTIONINI","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","1","0","1","0"
"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI","Trayecto","Septiembre 2016","2016","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","URQUIZA","Escuela Normal Superior Justo José de Urquiza","2","0","2","1"
"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI","Trayecto","Septiembre 2016","2016","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","CARENA","Instituto Superior Dr. Carlos María Carena","1","0","1","1"
"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI","Trayecto","Septiembre 2016","2016","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","18","0","18","6"
"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI","Trayecto","Septiembre 2016","2016","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","SANMARTIN","Colegio Superior San Martín","1","0","1","0"
"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","7","0","7","7"
"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC","Trayecto","Septiembre 2016","2016","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","URQUIZA","Escuela Normal Superior Justo José de Urquiza","3","0","3","2"
"Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria","GESTIONSEC","Trayecto","Septiembre 2016","2016","Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","7","0","7","3"
